title;artist;feeling
Heaven S The Place;Grayson Wray;Morose
Hate;Hybris;Morose
D B L;Ivilion;Morose
Knysnamushrooms;Mr Gelatine;Morose
Torn;Natalie Imbruglia;Morose
Where Youll Find Me Now;Neutral Milk Hotel;Morose
Echoes;Pink Floyd;Morose
Last Depression;Skitzo;Morose
Behind The Wall Of Sleep;Smithereens;Morose
Ooo Baby Baby;Smokey Robinson And The Miracles;Morose
Crawlspace;Soulprint;Morose
Stay;Spinecar;Morose
New World;Strawbs;Morose
Like White On Rice;Thursday Group;Morose
Hold Me Thrill Me Kiss Me Kill Me;U2;Morose
Aint Talkin Bout Love;Van Halen;Morose
Beechwood Park;Zombies;Morose
Bonita Applebum;A Tribe Called Quest;Negative
Tell It Like It Is;Aaron Neville;Negative
Dirty Deeds Done Dirt Cheap;Ac Dc;Negative
Prince Charming;Adam And The Ants;Negative
Im Crying;Animals;Negative
Come To Daddy;Aphex Twin;Negative
One Last Love Song;Beautiful South;Negative
Like Dylan In The Movies;Belle And Sebastian;Negative
Survival;Beth Quist;Negative
The Bridge Is Over;Boogie Down Productions;Negative
Mood Indigo;Charles Mingus;Negative
Setting Sun;Chemical Brothers;Negative
Speedway;Counting Crows;Negative
Walk On By;Dionne Warwick;Negative
Hate;Hybris;Negative
D B L;Ivilion;Negative
Torn;Natalie Imbruglia;Negative
Echoes;Pink Floyd;Negative
Last Depression;Skitzo;Negative
Crawlspace;Soulprint;Negative
Gangsters;Specials;Negative
Stay;Spinecar;Negative
New World;Strawbs;Negative
Trapped;2Pac;Negative Feelings
Prince Charming;Adam And The Ants;Negative Feelings
Jesus Hands;American Music Club;Negative Feelings
Come To Daddy;Aphex Twin;Negative Feelings
One Last Love Song;Beautiful South;Negative Feelings
The Bridge Is Over;Boogie Down Productions;Negative Feelings
He War;Cat Power;Negative Feelings
Speedway;Counting Crows;Negative Feelings
Walk On By;Dionne Warwick;Negative Feelings
Hate;Hybris;Negative Feelings
D B L;Ivilion;Negative Feelings
Torn;Natalie Imbruglia;Negative Feelings
Last Depression;Skitzo;Negative Feelings
Crawlspace;Soulprint;Negative Feelings
Stay;Spinecar;Negative Feelings
New World;Strawbs;Negative Feelings
For You And I;10Cc;Normal
Bonita Applebum;A Tribe Called Quest;Normal
Tell It Like It Is;Aaron Neville;Normal
Dirty Deeds Done Dirt Cheap;Ac Dc;Normal
Dude Looks Like A Lady;Aerosmith;Normal
Elected;Alice Cooper;Normal
Fallin;Alicia Keys;Normal
Jesus Hands;American Music Club;Normal
Boogie Woogie Bugle Boy;Andrews Sisters;Normal
Im Crying;Animals;Normal
Caught Up In The Rapture;Anita Baker;Normal
Wave;Antonio Carlos Jobim;Normal
Solid;Ashford And Simpson;Normal
Sweet Little Angel;B.B. King;Normal
Cant Get Enough Of Your Love Babe;Barry White;Normal
Saturday Night;Bay City Rollers;Normal
I Get Around;Beach Boys;Normal
One Last Love Song;Beautiful South;Normal
Stayin Alive;Bee Gees;Normal
Sometimes In Winter;Blood Sweat And Tears;Normal
You Cant Judge A Book By Its Cover;Bo Diddley;Normal
More Than A Feeling;Boston;Normal
Im A Slave For You;Britney Spears;Normal
Goodbye On A Beautiful Day;Burnshee Thornside;Normal
Lovefool;Cardigans;Normal
Do You Love Me;Contours;Normal
Speedway;Counting Crows;Normal
Walk On By;Dionne Warwick;Normal
Catch The Wind;Donovan;Normal
Come Undone;Duran Duran;Normal
Chains Of Love;Erasure;Normal
Wonderful Tonight;Eric Clapton;Normal
Come On Home;Franz Ferdinand;Normal
I Will Survive;Gloria Gaynor;Normal
Fire And Rain;James Taylor;Normal
Little L;Jamiroquai;Normal
Peaceful Planet;Kourosh Zolani;Normal
Immigrant Song;Led Zeppelin;Normal
Ray Of Light;Madonna;Normal
Who Can It Be Now;Men At Work;Normal
Porcelain;Moby;Normal
Knysnamushrooms;Mr Gelatine;Normal
Torn;Natalie Imbruglia;Normal
Echoes;Pink Floyd;Normal
Every Little Thing She Does Is Magic;Police;Normal
Sail Away;Randy Newman;Normal
Walking In The Rain;Ronettes;Normal
Last Depression;Skitzo;Normal
Just Like A Baby;Sly And The Family Stone;Normal
Behind The Wall Of Sleep;Smithereens;Normal
Ooo Baby Baby;Smokey Robinson And The Miracles;Normal
Laz 7 8;Solace;Normal
Strode Rode;Sonny Rollins;Normal
Crawlspace;Soulprint;Normal
Gangsters;Specials;Normal
Born To Be Wild;Steppenwolf;Normal
What Love Has Joined Together;Syreeta;Normal
Since I Lost My Baby;Temptations;Normal
Like White On Rice;Thursday Group;Normal
Hold Me Thrill Me Kiss Me Kill Me;U2;Normal
Sister Havana;Urge Overkill;Normal
Aint Talkin Bout Love;Van Halen;Normal
Hotel Yorba;White Stripes;Normal
Bargain;Who;Normal
Bust A Move;Young Mc;Normal
Beechwood Park;Zombies;Normal
For You And I;10Cc;Not Angry - Agressive
Bonita Applebum;A Tribe Called Quest;Not Angry - Agressive
Tell It Like It Is;Aaron Neville;Not Angry - Agressive
Fallin;Alicia Keys;Not Angry - Agressive
Jesus Hands;American Music Club;Not Angry - Agressive
Boogie Woogie Bugle Boy;Andrews Sisters;Not Angry - Agressive
Im Crying;Animals;Not Angry - Agressive
Caught Up In The Rapture;Anita Baker;Not Angry - Agressive
Wave;Antonio Carlos Jobim;Not Angry - Agressive
Alices Restaurant Massacree;Arlo Guthrie;Not Angry - Agressive
Don T Look Back;Artemis;Not Angry - Agressive
Solid;Ashford And Simpson;Not Angry - Agressive
Sweet Little Angel;B.B. King;Not Angry - Agressive
Cant Get Enough Of Your Love Babe;Barry White;Not Angry - Agressive
Saturday Night;Bay City Rollers;Not Angry - Agressive
I Get Around;Beach Boys;Not Angry - Agressive
One Last Love Song;Beautiful South;Not Angry - Agressive
Stayin Alive;Bee Gees;Not Angry - Agressive
Like Dylan In The Movies;Belle And Sebastian;Not Angry - Agressive
Survival;Beth Quist;Not Angry - Agressive
In The Street;Big Star;Not Angry - Agressive
Sometimes In Winter;Blood Sweat And Tears;Not Angry - Agressive
You Cant Judge A Book By Its Cover;Bo Diddley;Not Angry - Agressive
More Than A Feeling;Boston;Not Angry - Agressive
Im A Slave For You;Britney Spears;Not Angry - Agressive
Video Killed The Radio Star;Buggles;Not Angry - Agressive
Goodbye On A Beautiful Day;Burnshee Thornside;Not Angry - Agressive
On The Road Again;Canned Heat;Not Angry - Agressive
Lovefool;Cardigans;Not Angry - Agressive
Mood Indigo;Charles Mingus;Not Angry - Agressive
Do You Love Me;Contours;Not Angry - Agressive
Speedway;Counting Crows;Not Angry - Agressive
Teach Your Children;Crosby Stills Nash And Young;Not Angry - Agressive
Walk On By;Dionne Warwick;Not Angry - Agressive
Too Slow;Domased;Not Angry - Agressive
Catch The Wind;Donovan;Not Angry - Agressive
Come Undone;Duran Duran;Not Angry - Agressive
Chains Of Love;Erasure;Not Angry - Agressive
Wonderful Tonight;Eric Clapton;Not Angry - Agressive
Come On Home;Franz Ferdinand;Not Angry - Agressive
Heaven S The Place;Grayson Wray;Not Angry - Agressive
Jag S Rag;Jag;Not Angry - Agressive
Fire And Rain;James Taylor;Not Angry - Agressive
Little L;Jamiroquai;Not Angry - Agressive
Peaceful Planet;Kourosh Zolani;Not Angry - Agressive
Ray Of Light;Madonna;Not Angry - Agressive
Porcelain;Moby;Not Angry - Agressive
Knysnamushrooms;Mr Gelatine;Not Angry - Agressive
Being Boring;Pet Shop Boys;Not Angry - Agressive
Echoes;Pink Floyd;Not Angry - Agressive
Every Little Thing She Does Is Magic;Police;Not Angry - Agressive
Sail Away;Randy Newman;Not Angry - Agressive
Walking In The Rain;Ronettes;Not Angry - Agressive
No Mans Woman;Sinad Oconnor;Not Angry - Agressive
Just Like A Baby;Sly And The Family Stone;Not Angry - Agressive
Behind The Wall Of Sleep;Smithereens;Not Angry - Agressive
Ooo Baby Baby;Smokey Robinson And The Miracles;Not Angry - Agressive
Laz 7 8;Solace;Not Angry - Agressive
Strode Rode;Sonny Rollins;Not Angry - Agressive
Keep On Movin;Soul Ii Soul;Not Angry - Agressive
Gangsters;Specials;Not Angry - Agressive
Born To Be Wild;Steppenwolf;Not Angry - Agressive
Golden Brown;Stranglers;Not Angry - Agressive
Heres Where The Story Ends;Sundays;Not Angry - Agressive
What Love Has Joined Together;Syreeta;Not Angry - Agressive
Since I Lost My Baby;Temptations;Not Angry - Agressive
Sister Havana;Urge Overkill;Not Angry - Agressive
Bust A Move;Young Mc;Not Angry - Agressive
Beechwood Park;Zombies;Not Angry - Agressive
Trapped;2Pac;Not Calming
Dirty Deeds Done Dirt Cheap;Ac Dc;Not Calming
Prince Charming;Adam And The Ants;Not Calming
Dude Looks Like A Lady;Aerosmith;Not Calming
Elected;Alice Cooper;Not Calming
Im Crying;Animals;Not Calming
Come To Daddy;Aphex Twin;Not Calming
Saturday Night;Bay City Rollers;Not Calming
I Get Around;Beach Boys;Not Calming
Stayin Alive;Bee Gees;Not Calming
Bug Powder Dust;Bomb The Bass;Not Calming
The Bridge Is Over;Boogie Down Productions;Not Calming
More Than A Feeling;Boston;Not Calming
He War;Cat Power;Not Calming
Setting Sun;Chemical Brothers;Not Calming
Do You Love Me;Contours;Not Calming
Too Slow;Domased;Not Calming
Chains Of Love;Erasure;Not Calming
Come On Home;Franz Ferdinand;Not Calming
I Will Survive;Gloria Gaynor;Not Calming
Immigrant Song;Led Zeppelin;Not Calming
Who Can It Be Now;Men At Work;Not Calming
Take California;Propellerheads;Not Calming
Last Depression;Skitzo;Not Calming
Behind The Wall Of Sleep;Smithereens;Not Calming
Crawlspace;Soulprint;Not Calming
Stay;Spinecar;Not Calming
New World;Strawbs;Not Calming
Hold Me Thrill Me Kiss Me Kill Me;U2;Not Calming
Sister Havana;Urge Overkill;Not Calming
Aint Talkin Bout Love;Van Halen;Not Calming
Trapped;2Pac;Not Happy
Tell It Like It Is;Aaron Neville;Not Happy
Prince Charming;Adam And The Ants;Not Happy
Come To Daddy;Aphex Twin;Not Happy
Don T Look Back;Artemis;Not Happy
One Last Love Song;Beautiful South;Not Happy
Like Dylan In The Movies;Belle And Sebastian;Not Happy
Survival;Beth Quist;Not Happy
Sometimes In Winter;Blood Sweat And Tears;Not Happy
On The Road Again;Canned Heat;Not Happy
He War;Cat Power;Not Happy
Mood Indigo;Charles Mingus;Not Happy
Setting Sun;Chemical Brothers;Not Happy
Speedway;Counting Crows;Not Happy
Walk On By;Dionne Warwick;Not Happy
Come Undone;Duran Duran;Not Happy
Hate;Hybris;Not Happy
D B L;Ivilion;Not Happy
Fire And Rain;James Taylor;Not Happy
Torn;Natalie Imbruglia;Not Happy
Echoes;Pink Floyd;Not Happy
Last Depression;Skitzo;Not Happy
Just Like A Baby;Sly And The Family Stone;Not Happy
Crawlspace;Soulprint;Not Happy
Stay;Spinecar;Not Happy
New World;Strawbs;Not Happy
Like White On Rice;Thursday Group;Not Happy
Prince Charming;Adam And The Ants;Not Likeable
Elected;Alice Cooper;Not Likeable
Jesus Hands;American Music Club;Not Likeable
Come To Daddy;Aphex Twin;Not Likeable
One Last Love Song;Beautiful South;Not Likeable
Like Dylan In The Movies;Belle And Sebastian;Not Likeable
Survival;Beth Quist;Not Likeable
Wasnt Born To Follow;Byrds;Not Likeable
Speedway;Counting Crows;Not Likeable
Hate;Hybris;Not Likeable
Jag S Rag;Jag;Not Likeable
No Mans Woman;Sinad Oconnor;Not Likeable
Last Depression;Skitzo;Not Likeable
Stay;Spinecar;Not Likeable
For You And I;10Cc;Not Recommended
Bonita Applebum;A Tribe Called Quest;Not Recommended
Prince Charming;Adam And The Ants;Not Recommended
Elected;Alice Cooper;Not Recommended
Jesus Hands;American Music Club;Not Recommended
Come To Daddy;Aphex Twin;Not Recommended
One Last Love Song;Beautiful South;Not Recommended
Like Dylan In The Movies;Belle And Sebastian;Not Recommended
Survival;Beth Quist;Not Recommended
Wasnt Born To Follow;Byrds;Not Recommended
Speedway;Counting Crows;Not Recommended
Too Slow;Domased;Not Recommended
Catch The Wind;Donovan;Not Recommended
Hate;Hybris;Not Recommended
Jag S Rag;Jag;Not Recommended
Being Boring;Pet Shop Boys;Not Recommended
No Mans Woman;Sinad Oconnor;Not Recommended
Last Depression;Skitzo;Not Recommended
Crawlspace;Soulprint;Not Recommended
Stay;Spinecar;Not Recommended
Heres Where The Story Ends;Sundays;Not Recommended
Aint Talkin Bout Love;Van Halen;Not Recommended
Bonita Applebum;A Tribe Called Quest;Not Sad
Dirty Deeds Done Dirt Cheap;Ac Dc;Not Sad
Dude Looks Like A Lady;Aerosmith;Not Sad
Elected;Alice Cooper;Not Sad
Boogie Woogie Bugle Boy;Andrews Sisters;Not Sad
Caught Up In The Rapture;Anita Baker;Not Sad
Wave;Antonio Carlos Jobim;Not Sad
Alices Restaurant Massacree;Arlo Guthrie;Not Sad
Don T Look Back;Artemis;Not Sad
Solid;Ashford And Simpson;Not Sad
King Harvest Has Surely Come;Band;Not Sad
Saturday Night;Bay City Rollers;Not Sad
I Get Around;Beach Boys;Not Sad
Stayin Alive;Bee Gees;Not Sad
Like Dylan In The Movies;Belle And Sebastian;Not Sad
In The Street;Big Star;Not Sad
You Cant Judge A Book By Its Cover;Bo Diddley;Not Sad
More Than A Feeling;Boston;Not Sad
Im A Slave For You;Britney Spears;Not Sad
Video Killed The Radio Star;Buggles;Not Sad
Wasnt Born To Follow;Byrds;Not Sad
Dream Police;Cheap Trick;Not Sad
Do You Love Me;Contours;Not Sad
Too Slow;Domased;Not Sad
Come On Home;Franz Ferdinand;Not Sad
I Will Survive;Gloria Gaynor;Not Sad
Jag S Rag;Jag;Not Sad
Little L;Jamiroquai;Not Sad
Peaceful Planet;Kourosh Zolani;Not Sad
Ray Of Light;Madonna;Not Sad
Who Can It Be Now;Men At Work;Not Sad
Knysnamushrooms;Mr Gelatine;Not Sad
Take California;Propellerheads;Not Sad
Walking In The Rain;Ronettes;Not Sad
Laz 7 8;Solace;Not Sad
Strode Rode;Sonny Rollins;Not Sad
Gangsters;Specials;Not Sad
Born To Be Wild;Steppenwolf;Not Sad
Hold Me Thrill Me Kiss Me Kill Me;U2;Not Sad
Sister Havana;Urge Overkill;Not Sad
Aint Talkin Bout Love;Van Halen;Not Sad
Hotel Yorba;White Stripes;Not Sad
Bargain;Who;Not Sad
Bust A Move;Young Mc;Not Sad
Beechwood Park;Zombies;Not Sad
Trapped;2Pac;Party
Dude Looks Like A Lady;Aerosmith;Party
I Get Around;Beach Boys;Party
Stayin Alive;Bee Gees;Party
You Cant Judge A Book By Its Cover;Bo Diddley;Party
Bug Powder Dust;Bomb The Bass;Party
Im A Slave For You;Britney Spears;Party
Lovefool;Cardigans;Party
Do You Love Me;Contours;Party
Little L;Jamiroquai;Party
Take California;Propellerheads;Party
For You And I;10Cc;Piano
Boogie Woogie Bugle Boy;Andrews Sisters;Piano
Wave;Antonio Carlos Jobim;Piano
One Last Love Song;Beautiful South;Piano
The Bridge Is Over;Boogie Down Productions;Piano
He War;Cat Power;Piano
Mood Indigo;Charles Mingus;Piano
Do You Love Me;Contours;Piano
Walk On By;Dionne Warwick;Piano
I Will Survive;Gloria Gaynor;Piano
Porcelain;Moby;Piano
Every Little Thing She Does Is Magic;Police;Piano
Sail Away;Randy Newman;Piano
Strode Rode;Sonny Rollins;Piano
Keep On Movin;Soul Ii Soul;Piano
What Love Has Joined Together;Syreeta;Piano
Since I Lost My Baby;Temptations;Piano
For You And I;10Cc;Pleasant
Fallin;Alicia Keys;Pleasant
Boogie Woogie Bugle Boy;Andrews Sisters;Pleasant
Caught Up In The Rapture;Anita Baker;Pleasant
Wave;Antonio Carlos Jobim;Pleasant
Alices Restaurant Massacree;Arlo Guthrie;Pleasant
Solid;Ashford And Simpson;Pleasant
Sweet Little Angel;B.B. King;Pleasant
Saturday Night;Bay City Rollers;Pleasant
Stayin Alive;Bee Gees;Pleasant
Like Dylan In The Movies;Belle And Sebastian;Pleasant
In The Street;Big Star;Pleasant
Sometimes In Winter;Blood Sweat And Tears;Pleasant
You Cant Judge A Book By Its Cover;Bo Diddley;Pleasant
Goodbye On A Beautiful Day;Burnshee Thornside;Pleasant
Lovefool;Cardigans;Pleasant
Mood Indigo;Charles Mingus;Pleasant
Do You Love Me;Contours;Pleasant
Teach Your Children;Crosby Stills Nash And Young;Pleasant
Catch The Wind;Donovan;Pleasant
Come Undone;Duran Duran;Pleasant
I Will Survive;Gloria Gaynor;Pleasant
Fire And Rain;James Taylor;Pleasant
Peaceful Planet;Kourosh Zolani;Pleasant
Who Can It Be Now;Men At Work;Pleasant
Porcelain;Moby;Pleasant
Being Boring;Pet Shop Boys;Pleasant
Every Little Thing She Does Is Magic;Police;Pleasant
Just Like A Baby;Sly And The Family Stone;Pleasant
Ooo Baby Baby;Smokey Robinson And The Miracles;Pleasant
Strode Rode;Sonny Rollins;Pleasant
Keep On Movin;Soul Ii Soul;Pleasant
Gangsters;Specials;Pleasant
Heres Where The Story Ends;Sundays;Pleasant
What Love Has Joined Together;Syreeta;Pleasant
Beechwood Park;Zombies;Pleasant
Caught Up In The Rapture;Anita Baker;Pop
Solid;Ashford And Simpson;Pop
I Get Around;Beach Boys;Pop
One Last Love Song;Beautiful South;Pop
Im A Slave For You;Britney Spears;Pop
Video Killed The Radio Star;Buggles;Pop
Lovefool;Cardigans;Pop
Do You Love Me;Contours;Pop
Come Undone;Duran Duran;Pop
Ray Of Light;Madonna;Pop
Torn;Natalie Imbruglia;Pop
Walking In The Rain;Ronettes;Pop
Heres Where The Story Ends;Sundays;Pop
What Love Has Joined Together;Syreeta;Pop
Beechwood Park;Zombies;Pop
Boogie Woogie Bugle Boy;Andrews Sisters;Positive
Caught Up In The Rapture;Anita Baker;Positive
Wave;Antonio Carlos Jobim;Positive
Solid;Ashford And Simpson;Positive
Cant Get Enough Of Your Love Babe;Barry White;Positive
Saturday Night;Bay City Rollers;Positive
I Get Around;Beach Boys;Positive
Stayin Alive;Bee Gees;Positive
You Cant Judge A Book By Its Cover;Bo Diddley;Positive
More Than A Feeling;Boston;Positive
Goodbye On A Beautiful Day;Burnshee Thornside;Positive
Lovefool;Cardigans;Positive
Do You Love Me;Contours;Positive
Chains Of Love;Erasure;Positive
Fire And Rain;James Taylor;Positive
Little L;Jamiroquai;Positive
Ray Of Light;Madonna;Positive
Who Can It Be Now;Men At Work;Positive
Every Little Thing She Does Is Magic;Police;Positive
Walking In The Rain;Ronettes;Positive
Strode Rode;Sonny Rollins;Positive
Keep On Movin;Soul Ii Soul;Positive
What Love Has Joined Together;Syreeta;Positive
Hotel Yorba;White Stripes;Positive
Dude Looks Like A Lady;Aerosmith;Positive Feelings
Boogie Woogie Bugle Boy;Andrews Sisters;Positive Feelings
Caught Up In The Rapture;Anita Baker;Positive Feelings
Alices Restaurant Massacree;Arlo Guthrie;Positive Feelings
Solid;Ashford And Simpson;Positive Feelings
Sweet Little Angel;B.B. King;Positive Feelings
King Harvest Has Surely Come;Band;Positive Feelings
Cant Get Enough Of Your Love Babe;Barry White;Positive Feelings
Saturday Night;Bay City Rollers;Positive Feelings
I Get Around;Beach Boys;Positive Feelings
Where Its At;Beck;Positive Feelings
Stayin Alive;Bee Gees;Positive Feelings
In The Street;Big Star;Positive Feelings
Sometimes In Winter;Blood Sweat And Tears;Positive Feelings
You Cant Judge A Book By Its Cover;Bo Diddley;Positive Feelings
More Than A Feeling;Boston;Positive Feelings
Im A Slave For You;Britney Spears;Positive Feelings
Goodbye On A Beautiful Day;Burnshee Thornside;Positive Feelings
Lovefool;Cardigans;Positive Feelings
Do You Love Me;Contours;Positive Feelings
Catch The Wind;Donovan;Positive Feelings
Come Undone;Duran Duran;Positive Feelings
Chains Of Love;Erasure;Positive Feelings
Little L;Jamiroquai;Positive Feelings
Ray Of Light;Madonna;Positive Feelings
Who Can It Be Now;Men At Work;Positive Feelings
Porcelain;Moby;Positive Feelings
Every Little Thing She Does Is Magic;Police;Positive Feelings
Walking In The Rain;Ronettes;Positive Feelings
Laz 7 8;Solace;Positive Feelings
Strode Rode;Sonny Rollins;Positive Feelings
Born To Be Wild;Steppenwolf;Positive Feelings
What Love Has Joined Together;Syreeta;Positive Feelings
Hotel Yorba;White Stripes;Positive Feelings
Trapped;2Pac;Powerful
Dirty Deeds Done Dirt Cheap;Ac Dc;Powerful
Fallin;Alicia Keys;Powerful
Boogie Woogie Bugle Boy;Andrews Sisters;Powerful
Im Crying;Animals;Powerful
Solid;Ashford And Simpson;Powerful
Cant Get Enough Of Your Love Babe;Barry White;Powerful
Where Its At;Beck;Powerful
Stayin Alive;Bee Gees;Powerful
You Cant Judge A Book By Its Cover;Bo Diddley;Powerful
Bug Powder Dust;Bomb The Bass;Powerful
The Bridge Is Over;Boogie Down Productions;Powerful
More Than A Feeling;Boston;Powerful
Video Killed The Radio Star;Buggles;Powerful
Dream Police;Cheap Trick;Powerful
Setting Sun;Chemical Brothers;Powerful
Do You Love Me;Contours;Powerful
Come Undone;Duran Duran;Powerful
Chains Of Love;Erasure;Powerful
Come On Home;Franz Ferdinand;Powerful
I Will Survive;Gloria Gaynor;Powerful
Hate;Hybris;Powerful
D B L;Ivilion;Powerful
Fire And Rain;James Taylor;Powerful
Immigrant Song;Led Zeppelin;Powerful
Porcelain;Moby;Powerful
I Have Been Floated;Olivia Tremor Control;Powerful
Take California;Propellerheads;Powerful
Walking In The Rain;Ronettes;Powerful
Last Depression;Skitzo;Powerful
Strode Rode;Sonny Rollins;Powerful
Crawlspace;Soulprint;Powerful
Since I Lost My Baby;Temptations;Powerful
Hold Me Thrill Me Kiss Me Kill Me;U2;Powerful
Sister Havana;Urge Overkill;Powerful
Aint Talkin Bout Love;Van Halen;Powerful
Hotel Yorba;White Stripes;Powerful
Bargain;Who;Powerful
Fallin;Alicia Keys;R&B
Caught Up In The Rapture;Anita Baker;R&B
Cant Get Enough Of Your Love Babe;Barry White;R&B
Bug Powder Dust;Bomb The Bass;R&B
Do You Love Me;Contours;R&B
Walk On By;Dionne Warwick;R&B
Wonderful Tonight;Eric Clapton;R&B
Just Like A Baby;Sly And The Family Stone;R&B
Ooo Baby Baby;Smokey Robinson And The Miracles;R&B
Keep On Movin;Soul Ii Soul;R&B
What Love Has Joined Together;Syreeta;R&B
Since I Lost My Baby;Temptations;R&B
Dirty Deeds Done Dirt Cheap;Ac Dc;Recommended
Dude Looks Like A Lady;Aerosmith;Recommended
Fallin;Alicia Keys;Recommended
More Than A Feeling;Boston;Recommended
Come Undone;Duran Duran;Recommended
I Will Survive;Gloria Gaynor;Recommended
Peaceful Planet;Kourosh Zolani;Recommended
Immigrant Song;Led Zeppelin;Recommended
Porcelain;Moby;Recommended
Every Little Thing She Does Is Magic;Police;Recommended
Ooo Baby Baby;Smokey Robinson And The Miracles;Recommended
Since I Lost My Baby;Temptations;Recommended
Sister Havana;Urge Overkill;Recommended
Bargain;Who;Recommended
For You And I;10Cc;Recording Quality
Trapped;2Pac;Recording Quality
Dirty Deeds Done Dirt Cheap;Ac Dc;Recording Quality
Dude Looks Like A Lady;Aerosmith;Recording Quality
Fallin;Alicia Keys;Recording Quality
Caught Up In The Rapture;Anita Baker;Recording Quality
Wave;Antonio Carlos Jobim;Recording Quality
Alices Restaurant Massacree;Arlo Guthrie;Recording Quality
Solid;Ashford And Simpson;Recording Quality
Cant Get Enough Of Your Love Babe;Barry White;Recording Quality
One Last Love Song;Beautiful South;Recording Quality
Where Its At;Beck;Recording Quality
Stayin Alive;Bee Gees;Recording Quality
You Cant Judge A Book By Its Cover;Bo Diddley;Recording Quality
Bug Powder Dust;Bomb The Bass;Recording Quality
The Bridge Is Over;Boogie Down Productions;Recording Quality
More Than A Feeling;Boston;Recording Quality
Im A Slave For You;Britney Spears;Recording Quality
Video Killed The Radio Star;Buggles;Recording Quality
Goodbye On A Beautiful Day;Burnshee Thornside;Recording Quality
Lovefool;Cardigans;Recording Quality
Mood Indigo;Charles Mingus;Recording Quality
Dream Police;Cheap Trick;Recording Quality
Speedway;Counting Crows;Recording Quality
Teach Your Children;Crosby Stills Nash And Young;Recording Quality
Walk On By;Dionne Warwick;Recording Quality
Come Undone;Duran Duran;Recording Quality
Wonderful Tonight;Eric Clapton;Recording Quality
Hate;Hybris;Recording Quality
D B L;Ivilion;Recording Quality
Fire And Rain;James Taylor;Recording Quality
Little L;Jamiroquai;Recording Quality
Immigrant Song;Led Zeppelin;Recording Quality
Ray Of Light;Madonna;Recording Quality
Who Can It Be Now;Men At Work;Recording Quality
Porcelain;Moby;Recording Quality
Knysnamushrooms;Mr Gelatine;Recording Quality
Torn;Natalie Imbruglia;Recording Quality
Being Boring;Pet Shop Boys;Recording Quality
Every Little Thing She Does Is Magic;Police;Recording Quality
Laz 7 8;Solace;Recording Quality
Keep On Movin;Soul Ii Soul;Recording Quality
Crawlspace;Soulprint;Recording Quality
Stay;Spinecar;Recording Quality
New World;Strawbs;Recording Quality
What Love Has Joined Together;Syreeta;Recording Quality
Like White On Rice;Thursday Group;Recording Quality
Hold Me Thrill Me Kiss Me Kill Me;U2;Recording Quality
Sister Havana;Urge Overkill;Recording Quality
Bargain;Who;Recording Quality
Bust A Move;Young Mc;Recording Quality
Beechwood Park;Zombies;Recording Quality
For You And I;10Cc;Relax
Bonita Applebum;A Tribe Called Quest;Relax
Tell It Like It Is;Aaron Neville;Relax
Jesus Hands;American Music Club;Relax
Caught Up In The Rapture;Anita Baker;Relax
Wave;Antonio Carlos Jobim;Relax
Alices Restaurant Massacree;Arlo Guthrie;Relax
Like Dylan In The Movies;Belle And Sebastian;Relax
Survival;Beth Quist;Relax
Sometimes In Winter;Blood Sweat And Tears;Relax
Goodbye On A Beautiful Day;Burnshee Thornside;Relax
Wasnt Born To Follow;Byrds;Relax
He War;Cat Power;Relax
Mood Indigo;Charles Mingus;Relax
Speedway;Counting Crows;Relax
Teach Your Children;Crosby Stills Nash And Young;Relax
Walk On By;Dionne Warwick;Relax
Catch The Wind;Donovan;Relax
Wonderful Tonight;Eric Clapton;Relax
Heaven S The Place;Grayson Wray;Relax
Fire And Rain;James Taylor;Relax
Being Boring;Pet Shop Boys;Relax
Sail Away;Randy Newman;Relax
Just Like A Baby;Sly And The Family Stone;Relax
Since I Lost My Baby;Temptations;Relax
Beechwood Park;Zombies;Relax
Dirty Deeds Done Dirt Cheap;Ac Dc;Rock
Dude Looks Like A Lady;Aerosmith;Rock
Im Crying;Animals;Rock
Come To Daddy;Aphex Twin;Rock
Where Its At;Beck;Rock
Stayin Alive;Bee Gees;Rock
Like Dylan In The Movies;Belle And Sebastian;Rock
More Than A Feeling;Boston;Rock
Video Killed The Radio Star;Buggles;Rock
Lovefool;Cardigans;Rock
He War;Cat Power;Rock
Dream Police;Cheap Trick;Rock
Wonderful Tonight;Eric Clapton;Rock
Fire And Rain;James Taylor;Rock
Immigrant Song;Led Zeppelin;Rock
Who Can It Be Now;Men At Work;Rock
Where Youll Find Me Now;Neutral Milk Hotel;Rock
Echoes;Pink Floyd;Rock
Last Depression;Skitzo;Rock
Behind The Wall Of Sleep;Smithereens;Rock
Crawlspace;Soulprint;Rock
Gangsters;Specials;Rock
Stay;Spinecar;Rock
Born To Be Wild;Steppenwolf;Rock
New World;Strawbs;Rock
Hold Me Thrill Me Kiss Me Kill Me;U2;Rock
Sister Havana;Urge Overkill;Rock
Aint Talkin Bout Love;Van Halen;Rock
Bargain;Who;Rock
Beechwood Park;Zombies;Rock
Fallin;Alicia Keys;Romantic
Caught Up In The Rapture;Anita Baker;Romantic
Wave;Antonio Carlos Jobim;Romantic
Solid;Ashford And Simpson;Romantic
Cant Get Enough Of Your Love Babe;Barry White;Romantic
Sometimes In Winter;Blood Sweat And Tears;Romantic
Come Undone;Duran Duran;Romantic
Chains Of Love;Erasure;Romantic
Wonderful Tonight;Eric Clapton;Romantic
